,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,content_cleaned,rule_based_label,model_confidence
12054,gp:AOqpTOEAj50kSD5mZoMBgxCdrKdmuf6QreW3RtZ6l7_qsZlJJbTCyg0P5wJqi4HimP2PDm5C0AGgXp1uDB1Rgw,Seth Stark,https://play-lh.googleusercontent.com/a-/AOh14Gi0rIYi6K__fKU97L5L2jZsg_EO14OC1NlbUtkdnQ,"My actully reponse to this app ""what was the f****ng point of this!?"" My review was to long to type but a sum of is this app wants to take over your phone as a admin and refusing to uninstall itself if it is a admin, also screws up your entire email and was only made to torment people and make a simulation of hell in the real world. I hope that the development to of this app is freed from the monkey prison they were forced to make it in and the the enforcer rots a eternity you absolute scum.",1,65,,2020-02-06 01:22:39,,,most_relevant,com.google.android.apps.enterprise.dmagent,my actully reponse to this app what was the fng point of this my review was to long to type but a sum of is this app wants to take over your phone as a admin and refusing to uninstall itself if it is a admin also screws up your entire email and was only made to torment people and make a simulation of hell in the real world i hope that the development to of this app is freed from the monkey prison they were forced to make it in and the the enforcer rots a eternity you absolute scum,LOGIN_BUG,0.3142103413900991
50521,gp:AOqpTOFNYVqzmx9kNbuW6NwLV2QiBsbQrpFXJLyCmjj9s4dH1tHg8u5exO2GOIb6iFEhgj0AAEJux3WjobPNLG8,Nova Hannigan,https://play-lh.googleusercontent.com/a-/AOh14GgrRlZcC0mXwTpW3bOfeJ3LimbkjnA5MxvBEpGvsA,i love Google business... it's a means for a nobody with nothing can become someone and have things. the websites are bootsy and the app it is janky. i appreciate having access to both however and it is way way better than nothing. when i first noticed Google business a few years back i was shocked how eaeasy it was to create a productive pesos with a bank account and means to see tragic plus ways to get patted for your goods and services,2,6,3.29.0.331243412,2020-09-29 18:03:25,,,most_relevant,com.google.android.apps.vega,i love google business its a means for a nobody with nothing can become someone and have things the websites are bootsy and the app it is janky i appreciate having access to both however and it is way way better than nothing when i first noticed google business a few years back i was shocked how eaeasy it was to create a productive pesos with a bank account and means to see tragic plus ways to get patted for your goods and services,LOGIN_BUG,0.31510241489359825
12295,gp:AOqpTOHjwZpcVHptCeGpUm6YwJEtwTgll5l1Bhyz8cqdqIEJANH5IS_kacdTBGcIMUYmOoPgs6SGd9kHrGgDVg,HH S,https://play-lh.googleusercontent.com/-ePfXkMiuWvk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclIJTXuFBTnEdg1kofxwnP3KRiTfA/photo.jpg,"Ok, basically I got a message saying I need this app. Then I look at all the comments and I wasn't so sure, but when I read one comment where it said that without the stupid app I wouldn't be able to access chrome or YouTube or something. Well, I didn't like that, so I said I was just gonna give it a try. But then I saw that it could erase my data without a warning, change my password, etc, so I was like NO WAY. But I want to be able to go on YouTube and chrome, what should I do?",2,39,6.92,2016-03-12 17:36:55,,,most_relevant,com.google.android.apps.enterprise.dmagent,ok basically i got a message saying i need this app then i look at all the comments and i wasnt so sure but when i read one comment where it said that without the stupid app i wouldnt be able to access chrome or youtube or something well i didnt like that so i said i was just gonna give it a try but then i saw that it could erase my data without a warning change my password etc so i was like no way but i want to be able to go on youtube and chrome what should i do,LOGIN_BUG,0.3163205402398656
73869,gp:AOqpTOGz9ouNSix3FLW-fsQuQtyqlgjvPRCbgrdxYaplQ1oJM_h1hLTv3WgB28uMxjS0wiyKrzjNKVBERzlHqTE,AM Faulkner,https://play-lh.googleusercontent.com/a-/AOh14GjDFTwhcVYOhpElpN1FvB81ALR5A3gvU-l-U0eiMQ,"I HAVE TO CALL MY MOM JUST TO UNLOCK MY PHONE TO PLAY A GAME OR CHECK MY EMAIL! while yes, it does work, I hate having to call her every single time I want to text one of my friends. Okay it keeps me on track and it works but my mom works and I don't want to interrupt her at work just to play a game on my phone during lunch. when I'm on Instagram, it will close out of the app and not let me go back on it because I've spent ""too much time"" on it. It's super annoying but you win some lose some.",3,6,flh.release.1.25.0.G.283349593,2020-01-07 22:30:13,,,newest,com.google.android.apps.kids.familylinkhelper,i have to call my mom just to unlock my phone to play a game or check my email while yes it does work i hate having to call her every single time i want to text one of my friends okay it keeps me on track and it works but my mom works and i dont want to interrupt her at work just to play a game on my phone during lunch when im on instagram it will close out of the app and not let me go back on it because ive spent too much time on it its super annoying but you win some lose some,LOGIN_BUG,0.3181928081864416
73567,gp:AOqpTOGz9ouNSix3FLW-fsQuQtyqlgjvPRCbgrdxYaplQ1oJM_h1hLTv3WgB28uMxjS0wiyKrzjNKVBERzlHqTE,AM Faulkner,https://play-lh.googleusercontent.com/a-/AOh14GjDFTwhcVYOhpElpN1FvB81ALR5A3gvU-l-U0eiMQ,"I HAVE TO CALL MY MOM JUST TO UNLOCK MY PHONE TO PLAY A GAME OR CHECK MY EMAIL! while yes, it does work, I hate having to call her every single time I want to text one of my friends. Okay it keeps me on track and it works but my mom works and I don't want to interrupt her at work just to play a game on my phone during lunch. when I'm on Instagram, it will close out of the app and not let me go back on it because I've spent ""too much time"" on it. It's super annoying but you win some lose some.",3,6,flh.release.1.25.0.G.283349593,2020-01-07 22:30:13,,,most_relevant,com.google.android.apps.kids.familylinkhelper,i have to call my mom just to unlock my phone to play a game or check my email while yes it does work i hate having to call her every single time i want to text one of my friends okay it keeps me on track and it works but my mom works and i dont want to interrupt her at work just to play a game on my phone during lunch when im on instagram it will close out of the app and not let me go back on it because ive spent too much time on it its super annoying but you win some lose some,LOGIN_BUG,0.3181928081864416
1704,gp:AOqpTOH5hLLgph6M_jA3v_jDFI4mXDqFBp2MjhFUPUqZvdDBFb8Gz2qFuAQh0qfsSfMGWbBLyOG37ac-w50acOQ,Ec Hanson,https://play-lh.googleusercontent.com/a-/AOh14Gj9eGQ97B0aOi8Y_E_VExiodlclzOl7UFLubn0byU0,"Update on developer's reply. 👈 I have checked on calling account but there is nothing there to support sim 2. When on ""recent"" there is no option to call from sim 2. On contact you only set a permanent sim to call a contact. 😏 👍🏾. Work fine but if you have dual sim card then this app is not for you. I could not make call using sim 2. But there is no option to choose sim 2 📞🙄",3,1,57.0.341875790-downloadable,2020-12-03 21:13:41,"Hi again, Ec. We're sorry to hear that. The team is working hard to make the Phone app better over time. Please continue to help us improve by sending a feedback inside the Phone app through clicking the Menu button then the 'Help and Feedback' option and tapping on 'Send Feedback'. Thank you for letting us know.",2020-12-12 13:42:09,most_relevant,com.google.android.dialer,update on developers reply  i have checked on calling account but there is nothing there to support sim 2 when on recent there is no option to call from sim 2 on contact you only set a permanent sim to call a contact   work fine but if you have dual sim card then this app is not for you i could not make call using sim 2 but there is no option to choose sim 2 ,PERFORMANCE_BUG,0.32309581526418285
34956,gp:AOqpTOHJ2E-9H5bjHNXYz9G0Bj8s5qJY1o7-X96Uai9aT0MZLEag6FlA_ydARtQwovi5c6SsHH7XiB6q_VG5844,Jenni Dykstra,https://play-lh.googleusercontent.com/-kd2s-YdkpUI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclzJWQpj0jQbBR5Jr9kXPY4s2jBOA/photo.jpg,"I've been using Gmail for years instead of the app on my phone. Recent changes have reduced the usefulness dramatically and i may switch back.. Mainly, I can't choose which account I want to use to reply to or forward a message. I have commented on this in the app help files twice now. It IS a big issue with the latest version. I don't understand why change what's not broken.",2,10,2020.11.15.344277575.Release,2020-12-14 01:22:25,"Hi Jenni. If you are experiencing issues with the Gmail app, let's try the following steps from our help center: https://goo.gle/36NbNrK. Please send your feedback directly to our product team. You can do this by following the steps given in this article from our help center: goo.gle/2LapI3U. Have a great day!",2020-12-11 17:43:08,most_relevant,com.google.android.gm,ive been using gmail for years instead of the app on my phone recent changes have reduced the usefulness dramatically and i may switch back mainly i cant choose which account i want to use to reply to or forward a message i have commented on this in the app help files twice now it is a big issue with the latest version i dont understand why change whats not broken,LOGIN_BUG,0.3236633625462065
56849,gp:AOqpTOHUMlpOdHJ0MVYJvlO8WWIN9dgqLc4KhVxyXA0J2INoTgmC1nhKEIHN2UlYYDzaX1_1U4PUKF3nzKeA8A,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"If the GPS of the other phone (which connected to my google account) is turned off, I can't see the last location. It's okay if this application JUST display the information of 2 hours ago, I need it. Please fix it. Make this app be as same as September 2018 version.",3,4,,2019-02-26 12:00:39,,,most_relevant,com.google.android.apps.adm,if the gps of the other phone which connected to my google account is turned off i cant see the last location its okay if this application just display the information of 2 hours ago i need it please fix it make this app be as same as september 2018 version,LOGIN_BUG,0.3248327951472449
3668,gp:AOqpTOHYe8YAup-Xz6iN2LRnOyNoA7lWov38pzIKQ3I9gXhT8kXFqs3izkU8OZ-DoF3Yu3PoHfNj2NhknoGWOEc,Polite4 Canadians,https://play-lh.googleusercontent.com/-9aRbbp7VJZc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnq0JgcJnAvHpWh9oEyk_XA2pMvNA/photo.jpg,"No thanks. It will give you lots of error messages saying other apps won't work with it disabled, but most of them work just fine without it if you aren't signed in to a google account. The only tricky part is disabling the notifications to stop the error messages, you have to also disable notifications in the app sending the error message. I like getting rid of this because I like getting rid of it, its my phone, I don't owe you an explanation.",1,15,20.42.17 (000302-342117392),2021-01-24 02:07:05,,,most_relevant,com.google.android.gms,no thanks it will give you lots of error messages saying other apps wont work with it disabled but most of them work just fine without it if you arent signed in to a google account the only tricky part is disabling the notifications to stop the error messages you have to also disable notifications in the app sending the error message i like getting rid of this because i like getting rid of it its my phone i dont owe you an explanation,LOGIN_BUG,0.3272117280155999
6078,gp:AOqpTOFsPYlYxbkZSzy6py2_uN_JAdI9P0HAzTiADqiWtmSRIL_BrpptwVoObVpsdQPg2NOqTXbnWXjkqgutWA,HAY DEN,https://play-lh.googleusercontent.com/a-/AOh14GhO0sVhNPm07RhdSyvHmXYhs2IMYrMnm8elm36E9w,Take screenshots of all your rewards cards loyalty cards and gift cards you have stored now just in case you can't access them in the new app. UODATE TO GOOGLE:. cards show up in old google pay but not in new GPay. GPay also locks to one device at a time you can't use GPay on multiple devices using 1 account,1,3,2.120.344959027,2021-01-14 22:51:55,"Hi Hay. I'm sorry to hear that your [loyalty/gift] card disappeared. Did you happen to factory reset your device, remove your Google Account from your device or clear data from Play services or Google Pay? If yes, you will need to add your cards to Google Pay again g.co/help/qxwq7r. Thanks.",2021-01-14 22:42:44,most_relevant,com.google.android.apps.walletnfcrel,take screenshots of all your rewards cards loyalty cards and gift cards you have stored now just in case you cant access them in the new app uodate to google cards show up in old google pay but not in new gpay gpay also locks to one device at a time you cant use gpay on multiple devices using 1 account,UI_BUG,0.33118669328868444
32788,gp:AOqpTOE8DBb-yeKCEm5IpNyG75ipd4EPX2nxybHG1BNwD3jHGHRoWpEOgGw4MpjnMVnX8yHwUoqX8j35gtJNTYI,Ceejay Quach,https://play-lh.googleusercontent.com/a-/AOh14Ghuw94Lyo_647M36yGH5awe9juBjyCpHKaIlTFZaAw,"App using too much space on my phone, up to 3GB, even though photos are stored on the cloud. Not sure how to reduce space usage of the app. Also, developer contact email no longer works.",3,3,5.25.0.351407873,2021-01-18 06:14:24,,,most_relevant,com.google.android.apps.photos,app using too much space on my phone up to 3gb even though photos are stored on the cloud not sure how to reduce space usage of the app also developer contact email no longer works,LOGIN_BUG,0.33151991738458625
30473,gp:AOqpTOFxvN7HhiIID8nsYruRT1Y7cunWD-STYUlVyWCpbRfE4JgG-QfwJ43BHEkRAgmLyHskqLriqQ-e52c,Duality Development,https://play-lh.googleusercontent.com/a-/AOh14GhucTNtsQNjZCRNbCURa2Py_1VJL1JQ72Umsfgc,I NEED HELP!!! My google play music will not transfer songs to YouTube music. It only shows the name of the playlist. Even after receiving the email that transfer was complete. I even did it overnight.,3,0,8.26.8771-1.T,2020-10-17 20:04:21,,,most_relevant,com.google.android.music,i need help my google play music will not transfer songs to youtube music it only shows the name of the playlist even after receiving the email that transfer was complete i even did it overnight,LOGIN_BUG,0.33300762024976016
32698,gp:AOqpTOHqRSOF3abolCROmB3YQvfYuO6_DFoJ3EPMBVScoCqSHAyGxKSI6hcn8EzqoLHM6C5-pHDNAltwD8xnVhk,Xurious Skyfyre,https://play-lh.googleusercontent.com/a-/AOh14GhJK9XSzGjZa6WguKIToy2x2Bc7fe4iRRs2TnfNZoE,"I wish there was better methods for sorting. Like why can't I put photos into a folder and hide them from the main view in one go? Also removing the unlimited storage from the Pixel line was a serious mistake. It's one of the huge reasons I got the Pixel. I take a lot of pics, and didn't want to worry about uploading them with cost.",3,1181,5.26.0.352644055,2021-01-26 00:06:16,,,most_relevant,com.google.android.apps.photos,i wish there was better methods for sorting like why cant i put photos into a folder and hide them from the main view in one go also removing the unlimited storage from the pixel line was a serious mistake its one of the huge reasons i got the pixel i take a lot of pics and didnt want to worry about uploading them with cost,PERFORMANCE_BUG,0.33361978309224943
16827,gp:AOqpTOE9yMrG0weqbH-ThIPggbQoPIUxT1_8-AaDaVmhI0eFGgDIvGmo_ddRWxC9hL4TJibrYNDGnSI-e45mKDI,Jaime Zapata,https://play-lh.googleusercontent.com/a-/AOh14GiQKaF89Qha5e2x3K1aPXkAm92YI5khnYQjapn9Mg,"The app frequently fails to send a copy when commanded. It will go to the mail ap (Gmail), and look like it's done the task. But then it turns out the recipient got a completely blank email. Really annoying.",3,1,1.18.412.03.36,2018-11-08 22:50:19,,,most_relevant,com.google.android.apps.docs.editors.sheets,the app frequently fails to send a copy when commanded it will go to the mail ap gmail and look like its done the task but then it turns out the recipient got a completely blank email really annoying,LOGIN_BUG,0.33396863276241606
92655,gp:AOqpTOHGsbI3E2iyjPypNvLHRGJ6XaJvwTIVKIRsOLhM6utksjwdPMEByZoQcLeLooV3kTWztM5BDtgt_0vyOXM,Md Maruf Adnan Sami,https://play-lh.googleusercontent.com/a-/AOh14GiHLCkKBNSvaJ_-MzAnBzzwm4iqFNp-r_t7Y0lG0A,New version is always require to set email address to access the dashboard. Previous version was excellent and used many years without having any problems. What I should do now? Is there any option for go back to the previous version? Or I am going to uninstall this app. Thank you.,1,13,4.0.327861928,2020-08-31 10:22:18,"Thank you for your feedback. We apologize for the inconvenience, the new version should work just like the old one, can you please contact us at analytics-app-feedback@google.com with more details so that we can help resolve this issue. Thanks!",2020-09-02 21:37:25,most_relevant,com.google.android.apps.giant,new version is always require to set email address to access the dashboard previous version was excellent and used many years without having any problems what i should do now is there any option for go back to the previous version or i am going to uninstall this app thank you,LOGIN_BUG,0.33444564011894046
73182,gp:AOqpTOFlNmSlovcFObMm8vSM7jrlgo5-8_Zt_6woV-HnptsceDKQp4N5kPsn_0MYAUQPtMwOsgtGc8Ni-ZUybTg,House Of Gaming,https://play-lh.googleusercontent.com/a-/AOh14GiXFZIrClLcUcemDyoZW9ISpOps5Uii3u74wrdHeg,"This is coming from a 13 year old soon to be 14 this Summer. Pure dumpster fire. I've had this app for nearly a year now. It only makes me resent my parents more. It doesn't help me or any other child behave and often times causes stress. First off, this app gives you full control of your child's google account which is very invasive. DO NOT DISREGARD OTHER REVIEWS BECAUSE THEY ARE CHILDREN AND DO NOY INSTALL THIS APP. Not to mention you are letting big tech collect your child's data and sell it",1,1,flh.release.1.42.0.X.345476563,2021-02-01 16:01:49,,,most_relevant,com.google.android.apps.kids.familylinkhelper,this is coming from a 13 year old soon to be 14 this summer pure dumpster fire ive had this app for nearly a year now it only makes me resent my parents more it doesnt help me or any other child behave and often times causes stress first off this app gives you full control of your childs google account which is very invasive do not disregard other reviews because they are children and do noy install this app not to mention you are letting big tech collect your childs data and sell it,LOGIN_BUG,0.3348150160655829
48249,gp:AOqpTOEOCPhWWHL0xzjt3lZzTGOHO9PBqJ-YO8ooCPvGPW9y_lGssFE5NXdyTJUUw61UjvVyhnYS1YL3__4MBQ,Azzie Bean,https://play-lh.googleusercontent.com/a-/AOh14GjI4qDWwnU2aKujK3-SVFh0fL1_HFgdtAQ4KO31dA,"My account on chromecast got disconnected and it's been impossible reconnecting it. For example, I follow the instructions and it says it's fine and I out in the code but the tv does nothing, it doesn't change. Why does it do this? It's so incredibly, annoyingly frustrating",2,0,2.32.1.5,2021-01-28 13:57:19,"Hi Azzie, thanks for posting. You could try clearing your Google Home app’s cache and data and close all recent apps you used that might be open. Also, make sure all of your devices are connected to the same Wi-Fi network and they're 15-20 ft. from your Wi-Fi router. For more help, visit our support page: https://bit.ly/3rtGaiM.",2021-01-28 14:27:58,newest,com.google.android.apps.chromecast.app,my account on chromecast got disconnected and its been impossible reconnecting it for example i follow the instructions and it says its fine and i out in the code but the tv does nothing it doesnt change why does it do this its so incredibly annoyingly frustrating,LOGIN_BUG,0.334903400084961
